Univeristy,City,State,GPA,Annual Tuition,Types of School,Size of Students
Dixie State University,Saint George,UT,2.44,9126,private,16199
Eastern Mennonite University,Harrisonburg,VA,3.24,5501,private,12897
City University of Seattle,Seattle,WA,1.9,10542,private,15423
South Puget Sound Community College,Olympia,WA,3.05,6947,private,5396
Central Wyoming College,Riverton,WY,1.72,6909,public,10642
University of Puerto Rico-Rio Piedras,San Juan,PR,3.54,10526,private,5362
Knowledge Systems Institute,Skokie,IL,3.65,9152,private,19666
Career Technical College-Monroe,Monroe,LA,3.59,5343,public,11453
Kennesaw State University,Kennesaw,GA,2.68,7703,public,4979
Catholic Theological Union at Chicago,Chicago,IL,3.77,7171,private,12779
Lakeview College of Nursing,Danville,IL,1.86,5260,private,15965
Bexley Hall Seabury Western Theological Seminary Federation,Chicago,IL,1.99,5751,private,15674
Valparaiso University,Valparaiso,IN,2.8,6925,private,13795
Haskell Indian Nations University,Lawrence,KS,2.51,10719,private,7910
Union College,Barbourville,KY,2.04,9389,private,13154
Garrett College,McHenry,MD,3.52,9425,private,5878
Boston Graduate School of Psychoanalysis Inc,Brookline,MA,3.16,7264,private,16291
Middlesex Community College,Bedford,MA,3.6,6968,public,5542
Cleary University,Ann Arbor,MI,3.28,10214,public,15397
Anoka Technical College,Anoka,MN,1.84,5251,private,6983
Crown College,Saint Bonifacius,MN,1.56,5839,public,9139
Harris-Stowe State University,Saint Louis,MO,2.83,6774,private,17659
Research College of Nursing,Kansas City,MO,2.52,9154,private,16560
Grace University,Omaha,NE,1.59,6686,private,15376
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,3.17,10650,private,6375
New Mexico State University-Main Campus,Las Cruces,NM,1.63,10178,public,6975
CUNY New York City College of Technology,Brooklyn,NY,1.74,9279,private,4711
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,3.27,10410,public,19095
SUNY College of Environmental Science and Forestry,Syracuse,NY,3.99,6995,private,12404
Heritage Bible College,Dunn,NC,2.55,8446,public,10136
ITT Technical Institute-Oakland,Oakland,CA,1.8,6709,public,6621
ITT Technical Institute-Southfield,Troy,MI,2.67,9436,public,8442
National American University-Richardson,Richardson,TX,3.83,8998,private,18141
University of Phoenix-Michigan,Southfield,MI,3.13,7015,public,17451
Southeastern College-Jacksonville,Jacksonville,FL,2.43,9962,public,14901
American InterContinental University-Online,Schaumburg,IL,2.85,6454,private,10669
Union Graduate College,Schenectady,NY,3.54,9303,public,5172
Arizona State University-Downtown Phoenix,Phoenix,AZ,3.79,7998,public,13219
Argosy University-Inland Empire,Ontario,CA,1.98,5209,private,8858
Miller-Motte College-Greenville,Greenville,NC,1.76,7335,public,8672
Daymar College-Madisonville,Madisonville,KY,3.51,8375,private,6785
Brown Mackie College-Indianapolis,Indianapolis,IN,2.68,5619,public,6981
Yeshiva of Machzikai Hadas,Brooklyn,NY,2.6,7419,public,7210
Herzing University-Toledo,Toledo,OH,3.1,10968,private,16532
Heald College-Modesto,Salida,CA,1.81,8221,public,14369
Ashdown College of Health Sciences,Redlands,CA,1.76,10908,private,12487
Yeshiva Gedolah Zichron Leyma,Linden,NJ,2.69,10515,private,16882
DeVry University-Colorado,Westminster,CO,3.16,9468,public,6775
University of North Texas at Dallas,Dallas,TX,1.55,8680,public,19878
National College-Youngstown,Youngstown,OH,1.92,6825,public,10779
Horizon University,San Diego,CA,2.66,5732,private,10571
National College-Willoughby Hills,Willoughby Hills,OH,2.22,9743,public,18676
Miller-Motte Technical College-Macon,Macon,GA,1.51,8291,private,14019
Platt College-Riverside,Riverside,CA,3.83,7038,private,15452
DeVry University-Nevada,Henderson,NV,3.17,8319,public,12672
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,1.53,7759,public,17939
College of the Desert,Palm Desert,CA,2.36,6504,public,19035
The Art Institute of California-Argosy University San Diego,San Diego,CA,2.08,9810,public,13547
Pepperdine University,Malibu,CA,3.01,7328,public,8202
South Baylo University,Anaheim,CA,3.7,6931,public,15951
Pueblo Community College,Pueblo,CO,2.84,5746,public,8681
Yale-New Haven Hospital Dietetic Internship,New Haven,CT,2.98,10791,public,8004
Florida Southern College,Lakeland,FL,1.82,7665,public,13494
Stenotype Institute of Jacksonville Inc-Jacksonville,Jacksonville,FL,1.92,6648,public,16699
Gupton Jones College of Funeral Service,Decatur,GA,2.86,9797,private,9127
Midwestern University-Downers Grove,Downers Grove,IL,3.01,6001,private,11032
Institute for Clinical Social Work,Chicago,IL,1.87,9805,public,8331
Northern Baptist Theological Seminary,Lombard,IL,3.73,6947,private,8839
Harrison College-Indianapolis,Indianapolis,IN,2.37,9650,private,12150
Allen County Community College,Iola,KS,1.97,9139,public,15225
Saint Catharine College,Saint Catharine,KY,2.3,8942,private,18364
University of Maine at Farmington,Farmington,ME,2.29,6328,public,15165
Endicott College,Beverly,MA,1.7,9321,public,8121
Smith College,Northampton,MA,3.42,6527,private,5797
Sacred Heart Major Seminary,Detroit,MI,2.19,7168,private,8486
Saint Paul College,Saint Paul,MN,3.62,6527,private,6330
Stevens-The Institute of Business & Arts,Saint Louis,MO,2.84,10388,public,5425
Clarkson College,Omaha,NE,2.23,6381,private,15633
Beth Medrash Govoha,Lakewood,NJ,3.19,10704,public,9513
Eastern New Mexico University-Roswell Campus,Roswell,NM,3.49,6485,public,12899
Corning Community College,Corning,NY,3.3,8452,private,6791
Marymount Manhattan College,New York,NY,3.84,9699,private,9761
Schenectady County Community College,Schenectady,NY,2.78,6757,public,13262
Fred D. Learey Technical Center,Tampa,FL,3.76,10223,public,9460
Sanford-Brown College-Online,Tampa,FL,2.59,8620,private,8643
Virginia College-Columbia,Columbia,SC,2.33,7461,public,15321
American Sentinel University,Aurora,CO,1.99,10942,public,15656
Andover Newton Theological School,Newton Centre,MA,3.57,7790,private,9264
Hebrew College,Newton Centre,MA,1.83,5394,public,19755
Delta College,University Center,MI,2.49,7690,private,8225
Wayne State University,Detroit,MI,1.73,5368,private,17429
University of Minnesota-Twin Cities,Minneapolis,MN,2.62,5440,private,9857
Forest Institute of Professional Psychology,Springfield,MO,1.88,9228,public,11530
Washington University in St Louis,Saint Louis,MO,3.9,6235,private,18051
Southern New Hampshire University,Manchester,NH,1.85,9880,public,13977
Passaic County Community College,Paterson,NJ,3.81,6556,public,12782
Adirondack Community College,Queensbury,NY,3.14,7559,private,10737
CUNY Medgar Evers College,Brooklyn,NY,2.38,10820,private,15593
The New School,New York,NY,2.99,9334,public,8921
Rockland Community College,Suffern,NY,3.44,10715,public,11403
SUNY College at Oswego,Oswego,NY,2.83,10760,public,7091
Brunswick Community College,Bolivia,NC,1.68,7025,private,16450
University of Mount Olive,Mount Olive,NC,1.75,6203,private,14264
North Dakota State College of Science,Wahpeton,ND,2.49,10499,private,5946
Eastern Gateway Community College,Steubenville,OH,3.56,9988,private,5437
Ohio State University-Marion Campus,Marion,OH,3.01,8640,public,11085
Xavier University,Cincinnati,OH,3.15,9742,public,19448
Allegheny College,Meadville,PA,1.95,8120,private,18557
Manor College,Jenkintown,PA,1.82,6718,private,16609
Rosedale Technical Institute,Pittsburgh,PA,1.69,9014,private,6173
Roger Williams University,Bristol,RI,2.01,6025,public,11761
University of South Carolina-Lancaster,Lancaster,SC,1.74,7889,public,8554
Bryan College-Dayton,Dayton,TN,2.16,10920,public,10973
Austin Presbyterian Theological Seminary,Austin,TX,2.96,8151,public,14230
Lamar University,Beaumont,TX,1.53,8489,private,14192
Texarkana College,Texarkana,TX,2.57,6277,private,5776
Westminster College,Salt Lake City,UT,1.54,5098,private,15882
Southwest Virginia Community College,Richlands,VA,2.58,6753,public,8040
Grays Harbor College,Aberdeen,WA,2.8,6873,public,7463
Gateway Technical College,Kenosha,WI,1.59,6237,public,15610
EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR,1.95,5877,public,17754
Beckfield College-Florence,Florence,KY,3.2,8640,private,17029
Everest College-Aurora,Aurora,CO,3.2,10707,public,6421
ITT Technical Institute-Albuquerque,Albuquerque,NM,3.08,8511,private,19213
University of West Georgia,Carrollton,GA,3.88,5467,private,18171
Illinois Wesleyan University,Bloomington,IL,3.85,10597,public,4576
Northern Illinois University,Dekalb,IL,3.85,9971,private,5162
Indiana University-Southeast,New Albany,IN,3.97,9133,private,11119
Western Iowa Tech Community College,Sioux City,IA,3.46,6927,private,9029
Centre College,Danville,KY,3.49,8619,private,7056
University of Maine at Presque Isle,Presque Isle,ME,2,5941,private,14913
Mount St Mary's University,Emmitsburg,MD,1.7,6358,public,8202
Gordon College,Wenham,MA,3.16,9812,public,15999
Quincy College,Quincy,MA,1.59,9988,private,19966
Rochester College,Rochester Hills,MI,2.03,10281,private,4796
Minnesota State University Moorhead,Moorhead,MN,3.17,6418,public,19869
Baptist Bible College,Springfield,MO,2.66,5328,public,4827
Lutheran School of Nursing,Saint Louis,MO,1.54,8043,private,11906
Truman Medical Center School of Nurse Anesthesia,Kansas City,MO,2.89,5595,private,15492
Everest College-Henderson,Henderson,NV,3.51,5774,public,13864
New Brunswick Theological Seminary,New Brunswick,NJ,2.42,10382,public,10814
Clinton Community College,Plattsburgh,NY,1.93,6568,private,6481
Jewish Theological Seminary of America,New York,NY,2.91,10355,public,15223
Rabbinical Seminary of America,Flushing,NY,3.71,5338,private,17068
Blue Ridge Community College,Flat Rock,NC,3.24,10222,private,19165
Shaw University,Raleigh,NC,3.29,6197,public,5445
Sessions College for Professional Design,Tempe,AZ,2.21,10491,private,16761
ITT Technical Institute-San Antonio East,San Antonio,TX,2.24,6116,private,9623
DeVry University-Georgia,Decatur,GA,2.72,10922,private,7088
West Coast University-Miami,Doral,FL,1.94,6433,private,13819
Everest College-Tacoma,Tacoma,WA,2.07,10721,private,12225
Community Christian College,Redlands,CA,3.98,8567,private,18132
ITT Technical Institute-Oklahoma City,Oklahoma City,OK,3.97,5894,public,16799
Fortis College-Columbus,Westerville,OH,2.76,10416,public,16435
Institute of Taoist Education and Acupuncture,Louisville,CO,3.72,7305,public,12654
Sanford-Brown Institute-Orlando,Orlando,FL,2.9,10571,public,10804
Centura College-Norfolk,Norfolk,VA,3.88,10741,private,17387
Vatterott College-Springfield,Springfield,MO,3.44,9175,public,19244
Pennsylvania Highlands Community College,Johnstown,PA,2.79,8771,public,13621
Brown Mackie College-Hopkinsville,Hopkinsville,KY,3.32,6710,public,12459
Delaware College of Art and Design,Wilmington,DE,2.6,10622,public,12144
University of Connecticut-Tri-Campus,Waterbury,CT,3.59,8197,private,18936
Southern University Law Center,Baton Rouge,LA,2.28,7392,public,8625
Northern Arizona University,Flagstaff,AZ,1.84,10005,public,5856
California State University-San Bernardino,San Bernardino,CA,2.01,9487,private,12225
Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,3.98,9553,public,15543
Los Medanos College,Pittsburg,CA,3.71,10889,public,7073
San Diego State University,San Diego,CA,3.11,6004,private,5727
Taft College,Taft,CA,3.45,10012,private,6734
University of Bridgeport,Bridgeport,CT,1.95,8417,public,15990
Bethune-Cookman University,Daytona Beach,FL,3.53,7946,private,11054
Sitting Bull College,Fort Yates,ND,2.86,5257,public,11067
Hocking College,Nelsonville,OH,2.85,8692,private,13342
Pontifical College Josephinum,Columbus,OH,3.8,10470,private,16418
Tulsa Community College,Tulsa,OK,1.62,6274,public,10046
Reed College,Portland,OR,1.75,5683,private,16934
Central Penn College,Summerdale,PA,3.92,9975,public,10676
Lycoming College,Williamsport,PA,1.72,6957,private,7841
Rosemont College,Rosemont,PA,3.33,7619,private,12995
Technical College of the Lowcountry,Beaufort,SC,1.83,9803,private,19478
Bethel University,McKenzie,TN,3.56,7059,private,10216
Union University,Jackson,TN,2.36,7221,private,18057
University of Houston-Downtown,Houston,TX,1.54,9871,public,17074
Odessa College,Odessa,TX,3.39,10869,public,8138
Snow College,Ephraim,UT,2.39,10572,private,7731
George Mason University,Fairfax,VA,2.92,7402,public,5182
Virginia Wesleyan College,Norfolk,VA,3.08,6349,public,16298
Tompkins Cortland Community College,Dryden,NY,2.09,8565,private,18888
Asheville-Buncombe Technical Community College,Asheville,NC,1.51,7267,public,11052
Mercy School of Nursing,Charlotte,NC,2.09,10498,private,16481
Williston State College,Williston,ND,1.86,7670,private,11473
Hebrew Union College-Jewish Institute of Religion,New York,NY,1.74,7000,public,16577
University of Mount Union,Alliance,OH,3.32,9914,private,9858
Spartan College of Aeronautics and Technology,Tulsa,OK,3.32,7330,public,5679
Clatsop Community College,Astoria,OR,2.78,8357,private,17478
Community College of Allegheny County,Pittsburgh,PA,1.8,9713,private,12959
Faith Theological Seminary,Baltimore,MD,3.37,6068,private,15612
Penn Commercial Business/Technical School,Washington,PA,3.59,10554,private,12956
Susquehanna University,Selinsgrove,PA,3.94,10040,private,11022
Florence-Darlington Technical College,Florence,SC,3.89,10798,public,14162
Sewanee-The University of the South,Sewanee,TN,2.65,6068,public,7979
University of Houston-Victoria,Victoria,TX,3.16,10349,public,9887
The University of Texas Medical Branch,Galveston,TX,2.69,10676,private,9826
SIT Graduate Institute,Brattleboro,VT,2.29,9633,private,13267
American National University,Salem,VA,2.25,7060,private,9064
Seattle Pacific University,Seattle,WA,2.07,9840,private,11573
Northcentral Technical College,Wausau,WI,2.14,5127,public,9790
Universidad del Sagrado Corazon,Santurce,PR,3.62,8864,public,7614
Ecumenical Theological Seminary,Detroit,MI,3.26,9888,private,7225
Vista College,El Paso,TX,2.47,8446,public,13254
Remington College-Fort Worth Campus,Fort Worth,TX,1.55,9113,private,15334
ASA College,Brooklyn,NY,2.75,5751,public,10259
Arkansas State University-Mountain Home,Mountain Home,AR,2.67,5988,private,19343
Carolinas College of Health Sciences,Charlotte,NC,2.45,7338,public,6827
Everest College-Chesapeake,Chesapeake,VA,1.93,9433,private,13855
Miami Ad School-San Francisco,San Francisco,CA,2.53,9921,private,4888
Bexley Hall Episcopal Seminary,Columbus,OH,2.11,8996,private,9191
Eastern School of Acupuncture and Traditional Medicine,Montclair,NJ,2.4,10255,public,4809
SUM Bible College and Theological Seminary,Oakland,CA,3.39,5189,public,14131
South University-Montgomery,Montgomery,AL,3.97,5209,public,8193
Eastern Arizona College,Thatcher,AZ,1.51,9708,private,14978
Ozarka College,Melbourne,AR,3.12,7621,private,7708
Chapman University,Orange,CA,2.96,9246,public,6017
Long Beach City College,Long Beach,CA,3.62,6021,public,19888
Palomar College,San Marcos,CA,3.52,9777,private,14172
Yuba College,Marysville,CA,1.93,6181,public,17356
Colorado State University-Pueblo,Pueblo,CO,3.24,9953,private,18205
Gateway Community College,New Haven,CT,3.68,7794,private,5944
Gulf Coast State College,Panama City,FL,3.2,5587,public,19821
Everest University-Tampa,Tampa,FL,3.58,5056,private,6889
Spelman College,Atlanta,GA,3.96,10237,public,8485
Fox College,Bedford Park,IL,1.76,7941,private,14868
Lincoln College,Lincoln,IL,3.38,8902,private,7405
Anderson University,Anderson,IN,3.95,8164,private,5056
Briar Cliff University,Sioux City,IA,1.96,7752,public,14825
Mount Mercy University,Cedar Rapids,IA,1.64,7197,public,18948
Kansas Wesleyan University,Salina,KS,2.53,10825,public,12678
Jefferson Community and Technical College,Louisville,KY,3.77,8241,public,16591
Spalding University,Louisville,KY,1.63,7465,private,16275
Northern Maine Community College,Presque Isle,ME,3.05,5838,private,16235
University of Puget Sound,Tacoma,WA,2.02,9475,public,11523
Salem International University,Salem,WV,3.66,7221,private,7766
University of Wisconsin-Parkside,Kenosha,WI,1.8,10515,private,18364
University of Puerto Rico-Mayaguez,Mayaguez,PR,2.6,6378,public,5436
South Florida Bible College and Theological Seminary,Deerfield Beach,FL,2.01,10522,public,6473
Miami-Jacobs Career College-Columbus,Columbus,OH,1.57,8370,public,19550
Baker College of Auburn Hills,Auburn Hills,MI,2.02,9207,public,9034
Chicago State University,Chicago,IL,2.72,10158,private,8841
Quincy University,Quincy,IL,1.7,7608,public,13347
ITT Technical Institute-Fort Wayne,Fort Wayne,IN,3.29,5155,private,10814
Iowa Lakes Community College,Estherville,IA,3.08,5467,private,12446
University of Saint Mary,Leavenworth,KS,2.92,10469,public,12621
Midway College,Midway,KY,2.49,6168,private,4800
Our Lady of the Lake College,Baton Rouge,LA,2.08,10669,public,7911
Baltimore City Community College,Baltimore,MD,3.95,9802,private,7308
Holyoke Community College,Holyoke,MA,2.24,10025,public,7871
Northern Essex Community College,Haverhill,MA,1.75,10973,private,10988
Central Michigan University,Mount Pleasant,MI,3.37,5468,public,11039
Wayne County Community College District,Detroit,MI,2.28,6754,private,13417
Northwestern Health Sciences University,Bloomington,MN,3.98,7869,private,17451
Southwest Mississippi Community College,Summit,MS,2.35,5676,public,7456
Sanford-Brown College-Fenton,Fenton,MO,2.03,7768,private,9938
Miles Community College,Miles City,MT,3.69,8062,public,17741
Camden County College,Blackwood,NJ,1.5,8262,public,8355
San Juan College,Farmington,NM,1.96,8843,private,9075
Circle in the Square Theater School,New York,NY,3.33,6306,public,10214
Erie Community College,Buffalo,NY,3.48,9468,public,6942
Nazareth College,Rochester,NY,2.27,6495,private,10973
